StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9
s123456,Nicolai,0,2,4,7,10,12,0,2,10
s123789,Rune,2,10,4,12,10,4,0,-3,4
s178532,William,2,4,10,7,4,10,7,10,4
s123579,Mads,0,0,0,0,0,0,0,0,0
s123686,Casper,0,2,-3,2,4,10,12,10,7
s123564,Liv,2,4,10,12,10,4,0,2,-3
s432567,Osama,2,2,2,2,2,2,2,2,2
s234657,Walid,10,10,12,4,0,4,0,2,7
s234567,Jonas,0,12,12,10,4,0,0,4,7
s987654,Bjeff,4,4,4,4,4,4,4,4,4
s876654,Nikolaj,7,2,4,4,7,4,10,10,4
s234654,Amalie,7,7,7,4,10,12,10,7,4
s234456,Bastian,4,4,7,4,10,12,10,2,2
s123345,Johanne,4,4,10,12,12,12,10,7,2
s432765,Morten,12,12,12,12,12,12,12,12,12
